0,5,247.90,219.37,140.22,361.21,1.0,-1,-1,-1
0,4,354.37,197.68,132.59,405.40,1.0,-1,-1,-1
0,3,545.63,212.54,135.00,384.51,1.0,-1,-1,-1
0,2,923.30,206.52,184.82,395.76,1.0,-1,-1,-1
0,1,707.95,197.88,180.80,406.41,1.0,-1,-1,-1
1,5,246.29,213.75,130.58,366.43,1.0,-1,-1,-1
1,4,357.99,197.28,124.55,405.40,1.0,-1,-1,-1
1,3,545.22,210.54,130.18,386.92,1.0,-1,-1,-1
1,2,928.12,209.93,181.61,391.14,1.0,-1,-1,-1
1,1,714.78,194.87,173.17,409.42,1.0,-1,-1,-1
2,5,237.46,207.32,129.78,372.46,1.0,-1,-1,-1
2,4,357.39,197.88,123.15,404.80,1.0,-1,-1,-1
2,3,543.21,208.12,131.79,388.93,1.0,-1,-1,-1
2,2,938.57,208.53,171.96,392.14,1.0,-1,-1,-1
2,1,721.61,189.04,167.14,413.64,1.0,-1,-1,-1
3,5,215.56,197.38,139.42,383.20,1.0,-1,-1,-1
3,4,352.77,197.48,130.98,405.20,1.0,-1,-1,-1
3,3,542.41,205.51,135.80,392.34,1.0,-1,-1,-1
3,2,945.80,202.80,175.18,396.66,1.0,-1,-1,-1
3,1,721.61,179.60,173.57,422.28,1.0,-1,-1,-1
4,5,200.89,190.15,143.84,389.23,1.0,-1,-1,-1
4,4,348.35,194.06,138.21,409.42,1.0,-1,-1,-1
4,3,542.41,199.79,141.43,398.47,1.0,-1,-1,-1
4,2,947.41,193.46,180.00,405.20,1.0,-1,-1,-1
4,1,721.61,172.77,177.59,425.49,1.0,-1,-1,-1
5,5,183.72,184.62,152.18,394.75,1.0,-1,-1,-1
5,4,346.94,189.84,142.03,413.64,1.0,-1,-1,-1
5,3,542.01,193.86,148.66,404.00,1.0,-1,-1,-1
5,2,953.04,187.83,176.79,410.02,1.0,-1,-1,-1
5,1,723.62,168.55,179.60,428.50,1.0,-1,-1,-1
6,5,166.94,184.32,160.71,398.27,1.0,-1,-1,-1
6,4,344.53,189.04,142.43,413.64,1.0,-1,-1,-1
